LanguageID,Title,Description,Level,Icon,Color,SortOrder
1,Gia đình,Gia đình và các mối quan hệ,A1,👨‍👩‍👧‍👦,#EF4444,1
1,Thức ăn,Thức ăn và đồ uống,A1,🍕,#F97316,2
1,Nhà cửa,Nhà cửa và đồ đạc,A1,🏠,#8B5CF6,3
1,Màu sắc,Màu sắc và hình dạng,A1,🎨,#F59E0B,4
1,Số đếm,Số đếm và thời gian,A1,🔢,#10B981,5
2,Family,Family and relationships,A1,👨‍👩‍👧‍👦,#EF4444,1
2,Food,Food and drinks,A1,🍕,#F97316,2
2,Home,Home and furniture,A1,🏠,#8B5CF6,3
2,Colors,Colors and shapes,A1,🎨,#F59E0B,4
2,Numbers,Numbers and time,A1,🔢,#10B981,5
