LanguageID,Title,Description,Level,Icon,Color,SortOrder
3,HSK1 - Gia đình,Chủ đề gia đình và người thân,HSK1,👨‍👩‍👧‍👦,#EF4444,1
3,HSK1 - Số đếm,Số đếm và thời gian,HSK1,🔢,#F59E0B,2
3,HSK1 - Màu sắc,Màu sắc và hình dạng,HSK1,🎨,#8B5CF6,3
3,HSK1 - Thức ăn,Đồ ăn và thức uống,HSK1,🍕,#10B981,4
3,HSK1 - Nhà cửa,Nhà và đồ nội thất,HSK1,🏠,#3B82F6,5
3,HSK1 - Trường học,Trường học và học tập,HSK1,📚,#6366F1,6
3,HSK1 - Công việc,Công việc và nghề nghiệp,HSK1,💼,#EC4899,7
3,HSK1 - Giao thông,Phương tiện giao thông,HSK1,🚗,#14B8A6,8
3,HSK1 - Thời tiết,Thời tiết và khí hậu,HSK1,☀️,#F97316,9
3,HSK1 - Cơ thể,Cơ thể và sức khỏe,HSK1,👤,#8B5CF6,10
